Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
a2i_3_53	ERS1032148	a2i	single_cell	a2i_3_53	Teichmann_a2i_3_53_	ERX1283575	ERR1211324
a2i_3_54	ERS1032149	a2i	single_cell	a2i_3_54	Teichmann_a2i_3_54_	ERX1283576	ERR1211325
a2i_3_55	ERS1032150	a2i	single_cell	a2i_3_55	Teichmann_a2i_3_55_	ERX1283577	ERR1211326
a2i_3_56	ERS1032151	a2i	single_cell	a2i_3_56	Teichmann_a2i_3_56_	ERX1283578	ERR1211327
a2i_3_57	ERS1032152	a2i	single_cell	a2i_3_57	Teichmann_a2i_3_57_	ERX1283579	ERR1211328
a2i_3_58	ERS1032153	a2i	single_cell	a2i_3_58	Teichmann_a2i_3_58_	ERX1283580	ERR1211329
a2i_3_59	ERS1032154	a2i	single_cell	a2i_3_59	Teichmann_a2i_3_59_	ERX1283581	ERR1211330
a2i_3_60	ERS1032155	a2i	single_cell	a2i_3_60	Teichmann_a2i_3_60_	ERX1283582	ERR1211331
a2i_3_61	ERS1032156	a2i	single_cell	a2i_3_61	Teichmann_a2i_3_61_	ERX1283583	ERR1211332
a2i_3_62	ERS1032157	a2i	single_cell	a2i_3_62	Teichmann_a2i_3_62_	ERX1283584	ERR1211333
a2i_3_63	ERS1032158	a2i	single_cell	a2i_3_63	Teichmann_a2i_3_63_	ERX1283585	ERR1211334
a2i_3_64	ERS1032159	a2i	single_cell	a2i_3_64	Teichmann_a2i_3_64_	ERX1283586	ERR1211335
a2i_3_65	ERS1032160	a2i	single_cell	a2i_3_65	Teichmann_a2i_3_65_	ERX1283587	ERR1211336
a2i_3_66	ERS1032161	a2i	single_cell	a2i_3_66	Teichmann_a2i_3_66_	ERX1283588	ERR1211337
a2i_3_67	ERS1032162	a2i	single_cell	a2i_3_67	Teichmann_a2i_3_67_	ERX1283589	ERR1211338
a2i_3_68	ERS1032163	a2i	single_cell	a2i_3_68	Teichmann_a2i_3_68_	ERX1283590	ERR1211339
